Provincia,Municipio,Localidad,Código postal,Dirección,Margen,Longitud,Latitud,Toma de datos,Precio gasolina 95 E5,Precio gasolina 95 E10,Precio gasolina 95 E5 Premium,Precio gasolina 98 E5,Precio gasolina 98 E10,Precio gasóleo A,Precio gasóleo Premium,Precio gasóleo B,Precio gasóleo C,Precio bioetanol,Precio biodiésel,Precio gases licuados del petróleo,Precio gas natural comprimido,Precio gas natural licuado,Precio hidrógeno,Rótulo,Horario,Tipo estación
ALICANTE,ALTEA,ALTEA,03590,"PUERTO DEPORTIVO LUIS CAMPOMANES, S/N - PARTIDA MASCARAT",,-0.003833,38.629556,2024-11-23 15:54:37,1.68,,,,,1.55,,,,,,,,,,,M-D: 10:00-18:00,Puerto
ALICANTE,CALPE/CALP,CALPE,03710,EXPLANADA DEL PUERTO PESQUERO S/N,,0.069162,38.637313,2024-11-23 15:54:37,,,,,,,,0.8022,,,,,,,,COFRADIA DE PESCADORES DE CALPE,L-V: 08:00-13:30 y 15:30-19:30; S: 09:00-13:00,Puerto
ALICANTE,DÉNIA,DENIA,03700,PUERTO PESQUERO DE DENIA S/N,,0.113056,38.843611,2024-11-23 15:54:37,,,,,,,,,,,,,,,,NO HAY,L-V: 08:00-13:00 y 16:30-19:30,Puerto
ALICANTE,DÉNIA,DENIA,03700,DARSENA DE BABOR S/N PUERTO DE DENIA,,0.119139,38.567556,2024-11-23 15:54:37,1.669,,,,,1.509,,,,,,,,,,MARINA DE DENIA S.A,L-D: 24H,Puerto
ALICANTE,GUARDAMAR DEL SEGURA,GUARDAMAR DEL SEGURA,03140,AVDA. DEL PUERTO.219,,-0.646278,38.109,2024-11-23 15:54:37,,,,,,,,,,,,,,,,MARINA DE LAS DUNAS (REPSOL),L-D: 07:00-22:00,Puerto
ALICANTE,JÁVEA/XÀBIA,JÁVEA/XÀBIA,03730,"BURDEOS, 1",,0.186222,38.775722,2024-11-23 15:54:37,1.841,,,,,,,,,,,,,,,NOU FONTANA,L-D: 24H,Puerto
ALICANTE,SANTA POLA,SANTA POLA,03130,MUELLE NORTE S/N PUERTO DEPORTIVO 2,,-0.560556,38.189306,2024-11-23 15:54:37,1.435,,,,,1.303,,,,,,,,,,MARINA MIRAMAR,L-D: 24H,Puerto
ALICANTE,SANTA POLA,SANTA POLA,03130,"ZONA PORTUARIA, 35",,-0.558583,38.187389,2024-11-23 15:54:37,1.415,,,,,1.335,,,,,,,,,,COFRADÍA DE PESCADORES,L-V: 09:00-13:00 y 16:00-20:00,Puerto
ALICANTE,VILLAJOYOSA/VILA JOIOSA (LA),VILLAJOYOSA / VILA JOIOSA (LA),03570,PUERTO PESQUERO,,-0.218833,38.506306,2024-11-23 15:54:37,1.519,,,,,1.369,,,,,,,,,,COFRADIA,L-V: 08:00-21:00; S-D: 08:00-15:00,Puerto
ALMERÍA,CARBONERAS,CARBONERAS,04140,"MUELLE PESQUERO DE CARBONERAS, S/Nº",,-1.897068,36.991802,2024-11-23 15:54:37,1.629,,,,,1.539,,0.66,,,,,,,,REPSOL,L-D: 24H,Puerto
ALMERÍA,GARRUCHA,GARRUCHA,04630,"PUERTO PESQUERO, S/Nº",,-1.819013,37.181802,2024-11-23 15:54:37,1.629,,,,,1.539,,0.66,,,,,,,,REPSOL,L-D: 24H,Puerto
ALMERÍA,ROQUETAS DE MAR,AGUADULCE,04720,PUERTO DEPORTIVO AGUADULCE - TORRE DE CONTROL S/N,,-2.562917,36.813333,2024-11-23 15:54:37,1.569,,,,,1.499,,,,,,,,,,REPSOL,L-D: 24H,Puerto
ASTURIAS,GIJÓN,GIJON,33201,EDIFICIO ANTIGUA RULA C/CLAUDIO ALVARGONZALEZ S/N,,-5.666444,43.546472,2024-11-23 15:54:37,1.63,,,,,1.54,,,,,,,,,,REPSOL,L-D: 24H,Puerto
ASTURIAS,VALDÉS,LUARCA,33700,PUERTO PESQUERO S/N,,-6.533389,43.546167,2024-11-23 15:54:37,,,,,,,,0.696,,,,,,,,REPSOL,L: 14:00-18:00; J: 14:00-18:00,Puerto
BALEARS (ILLES),ALCÚDIA,ALCUDIA,07400,"PASEO MARITIMO, 1",,3.134806,39.836944,2024-11-23 15:54:37,1.68,,,,,1.58,,,,,,,,,,ALCUDIAMAR,L-D: 24H,Puerto
BALEARS (ILLES),ALCÚDIA,ALCUDIA,07400,"ARRANQUE MUELLE PESQUERO, S/Nº",,3.135361,39.83825,2024-11-23 15:54:37,,,,,,,,0.72,,,,,,,,REPSOL,L-V: 09:00-14:00 y 15:00-18:00,Puerto
BALEARS (ILLES),ANDRATX,ANDRATX,07150,"MUELLE PESQUERO, S/Nº",,2.389461,39.545484,2024-11-23 15:54:37,,,,,,,,0.72,,,,,,,,REPSOL,L-D: 24H,Puerto
BALEARS (ILLES),CAMPOS,RAPITA (SA),07639,"EXPLANADA DEL PUERTO, S/N",,2.951099,39.359178,2024-11-23 15:54:37,1.674,,,,,1.576,,,,,,,,,,CLUB NAUTICO LA RAPITA,L-S: 08:00-18:00; D: 08:00-13:00,Puerto
BALEARS (ILLES),CAPDEPERA,CALA RATJADA,07590,"MUELLE PESQUERO, S/Nº",,3.464183,39.709928,2024-11-23 15:54:37,1.667,,,,,1.588,,0.72,,,,,,,,REPSOL,L-D: 24H,Puerto
BALEARS (ILLES),CIUTADELLA DE MENORCA,CIUTADELLA DE MENORCA,07760,CAMI DE BAIX S/N,,3.829972,39.999028,2024-11-23 15:54:37,1.783,,,,,1.673,,0.695,,,,,,,,GALP- CLUB NÁUTICO CIUTADELLA  ,L-V: 09:00-18:30; S-D: 09:00-13:00,Puerto
BALEARS (ILLES),EIVISSA,EIVISSA,07800,"PASSEIG JOAN CARLES I, 20",,1.443722,38.913806,2024-11-23 15:54:37,1.686,,,,,1.626,,,,,,,,,,REPSOL,L-D: 09:00-14:00 y 16:00-20:00,Puerto
BALEARS (ILLES),EIVISSA,EIVISSA,07800,"MUELLE COMERCIAL, S/Nº",,1.439183,38.913817,2024-11-23 15:54:37,,,,,,,,0.72,,,,,,,,REPSOL,L-D: 24H,Puerto
BALEARS (ILLES),MERCADAL (ES),FORNELLS,07748,PASSATGE ES PLA S/N,,4.12975,40.056806,2024-11-23 15:54:37,1.699,,,,,1.599,,,,,,,,,,U.S.PUERTO FORNELLS,X: 09:00-13:00,Puerto
BALEARS (ILLES),PALMA DE MALLORCA,PALMA,07001,"MUELLE VIEJO, S/N ESPIGÓN EXTERIOR",,2.638278,39.564667,2024-11-23 15:54:37,,,,,,1.5,,,,,,,,,,STP,L-D: 08:00-20:00,Puerto
BALEARS (ILLES),PALMA DE MALLORCA,PALMA,07012,"MUELLE VIEJO, S/Nº (EL MOLLET)",,2.640572,39.566595,2024-11-23 15:54:37,,,,,,1.588,,0.72,,,,,,,,REPSOL,L-D: 24H,Puerto
